,Team,cleanName,Season,GP,MINS,oPOSS,ORAPM,DRAPM,RAPM,MINS_team,min_pct,Contrib,Contrib_team,School,TLM_NetRtg,team_adjustment,adj_RAPM,MINS_adj,min_pct_adj,min_pct_adj_adj,final_Contrib
0,Wisconsin,D'Mitrik Trice,2020-21,29,955.851,1674,2.89,2.36,5.25,5718.41,0.8357664105931544,4.38777365561406,20.37769731446329,Wisconsin,26.32,1.188460537107342,6.438460537107342,5637.442,0.8477701411384808,5.000000000000001,4.450793240977024
1,Wisconsin,Brad Davison,2020-21,29,888.464,1549,1.94,0.87,2.81,5718.41,0.7768453118961391,2.1829353264281512,20.37769731446329,Wisconsin,26.32,1.188460537107342,3.9984605371073423,5637.442,0.7880027856605886,5.000000000000001,2.214287827706254
2,Wisconsin,Aleem Ford,2020-21,29,766.61,1367,1.13,1.27,2.4,5718.41,0.6702999610031459,1.6087199064075501,20.37769731446329,Wisconsin,26.32,1.188460537107342,3.588460537107342,5637.442,0.6799271726431952,5.000000000000001,1.6318252143436685
3,Wisconsin,Tyler Wahl,2020-21,29,712.632,1240,0.68,2.26,2.93,5718.41,0.6231032752111163,1.8256925963685708,20.37769731446329,Wisconsin,26.32,1.188460537107342,4.118460537107342,5637.442,0.6320526224482663,5.000000000000001,1.8519141837734203
4,Wisconsin,Jonathan Davis,2020-21,29,684.851,1218,3.33,2.85,6.18,5718.41,0.5988124321271122,3.7006608305455533,20.37769731446329,Wisconsin,26.32,1.188460537107342,7.3684605371073415,5637.442,0.6074129010994701,5.000000000000001,3.7538117287947252
5,Wisconsin,Micah Potter,2020-21,29,637.755,1144,4.18,3.07,7.25,5718.41,0.5576331532716262,4.04284036121929,20.37769731446329,Wisconsin,26.32,1.188460537107342,8.438460537107343,5637.442,0.5656421831036132,5.000000000000001,4.1009058275011965
6,Wisconsin,Nate Reuvers,2020-21,29,604.998,1085,0.18,2.49,2.68,5718.41,0.528991450420659,1.4176970871273662,20.37769731446329,Wisconsin,26.32,1.188460537107342,3.8684605371073424,5637.442,0.5365891125797835,5.000000000000001,1.4380588217138197
7,Wisconsin,Trevor Anderson,2020-21,27,386.281,716,1.75,1.65,3.4,5718.41,0.3377521024200783,1.1483571482282662,20.37769731446329,Wisconsin,26.32,1.188460537107342,4.588460537107342,5637.442,0.34260308132660167,5.000000000000001,1.1648504765104457
8,Winthrop,Chandler Vaudrin,2020-21,24,747.685,1469,2.85,1.08,3.93,4675.674999999999,0.7995476588941703,3.1422222994540894,11.35426166275458,Winthrop,7.46,-0.7788523325509159,3.1511476674490844,3775.7479999999996,0.9901150712388646,4.999999999999998,3.8911522299687378
9,Winthrop,Micheal Anumba,2020-21,24,574.104,1139,0.25,-0.24,0.01,4675.674999999999,0.6139263314922445,0.006139263314922446,11.35426166275458,Winthrop,7.46,-0.7788523325509159,-0.7688523325509159,3775.7479999999996,0.7602520083437774,4.999999999999998,0.007602520083437774
10,Winthrop,Charles Falden,2020-21,24,495.201,1012,0.75,0.94,1.69,4675.674999999999,0.5295502788367455,0.8949399712341,11.35426166275458,Winthrop,7.46,-0.7788523325509159,0.911147667449084,3775.7479999999996,0.6557654271418536,4.999999999999998,1.1082435718697325
11,Winthrop,Kyle Zunic,2020-21,24,465.799,953,-0.01,1.28,1.27,4675.674999999999,0.4981088292064783,0.6325982130922274,11.35426166275458,Winthrop,7.46,-0.7788523325509159,0.4911476674490841,3775.7479999999996,0.6168300956525701,4.999999999999998,0.783374221478764
12,Winthrop,Chase Claxton,2020-21,22,423.834,874,0.25,2.06,2.31,4675.674999999999,0.4532329556695024,1.0469681275965506,11.35426166275458,Winthrop,7.46,-0.7788523325509159,1.5311476674490843,3775.7479999999996,0.5612583255026554,4.999999999999998,1.296506731911134
13,Winthrop,D.J. Burns Jr.,2020-21,24,391.105,803,0.33,2.28,2.61,4675.674999999999,0.41823373095863176,1.091590037802029,11.35426166275458,Winthrop,7.46,-0.7788523325509159,1.831147667449084,3775.7479999999996,0.517917244477121,4.999999999999998,1.3517640080852855
14,Winthrop,Adonis Arms,2020-21,22,366.667,774,2.03,2.01,4.04,4675.674999999999,0.39210060579488526,1.5840864474113365,11.35426166275458,Winthrop,7.46,-0.7788523325509159,3.2611476674490842,3775.7479999999996,0.48555544490786984,4.999999999999998,1.9616439974277942
15,Winthrop,Josh Corbin,2020-21,24,311.353,643,3.24,0.89,4.13,4675.674999999999,0.33294978799852437,1.3750826244339056,11.35426166275458,Winthrop,7.46,-0.7788523325509159,3.351147667449084,3775.7479999999996,0.4123063827352886,4.999999999999998,1.7028253606967418
