,Team,2,3,4,5,6,7
0,Gonzaga,0.976,0.9179999999999999,0.826,0.6659999999999999,0.529,0.35700000000000004
1,Michigan,0.973,0.8220000000000001,0.621,0.4,0.139,0.08
2,Baylor,0.968,0.8240000000000001,0.6940000000000001,0.489,0.281,0.1
3,Illinois,0.965,0.862,0.688,0.532,0.314,0.153
4,Ohio State,0.956,0.809,0.564,0.231,0.094,0.035
5,Houston,0.95,0.787,0.479,0.162,0.076,0.027999999999999997
6,Iowa,0.946,0.7879999999999999,0.529,0.142,0.078,0.035
7,Alabama,0.94,0.7490000000000001,0.46399999999999997,0.21899999999999997,0.063,0.028999999999999998
8,Kansas,0.9259999999999999,0.6659999999999999,0.28600000000000003,0.07400000000000001,0.037000000000000005,0.018000000000000002
9,Texas,0.9229999999999999,0.69,0.33,0.155,0.037000000000000005,0.015
10,West Virginia,0.9229999999999999,0.622,0.313,0.08199999999999999,0.031,0.012
11,Florida State,0.9,0.6,0.198,0.086,0.021,0.009000000000000001
12,Purdue,0.8859999999999999,0.503,0.09699999999999999,0.04,0.013999999999999999,0.005
13,Arkansas,0.856,0.519,0.19399999999999998,0.065,0.023,0.009000000000000001
14,Oklahoma State,0.8540000000000001,0.578,0.14800000000000002,0.094,0.043,0.016
15,Southern California,0.79,0.267,0.08199999999999999,0.015,0.006,0.002
16,Virginia,0.7879999999999999,0.529,0.079,0.037000000000000005,0.017,0.008
17,Tennessee,0.784,0.322,0.076,0.035,0.013000000000000001,0.005
18,Texas Tech,0.773,0.37,0.134,0.04,0.013000000000000001,0.005
19,Villanova,0.737,0.385,0.096,0.05,0.023,0.008
20,Creighton,0.736,0.312,0.036000000000000004,0.015,0.006,0.003
21,Louisiana State,0.6659999999999999,0.122,0.057999999999999996,0.021,0.006,0.003
22,Oregon,0.6579999999999999,0.14,0.06,0.012,0.005,0.003
23,Brigham Young,0.654,0.19699999999999998,0.067,0.021,0.005,0.003
24,Oklahoma,0.601,0.040999999999999995,0.021,0.008,0.003,0.002
25,Clemson,0.5920000000000001,0.11800000000000001,0.042,0.013000000000000001,0.004,0.002
26,San Diego State,0.5920000000000001,0.23,0.086,0.02,0.006999999999999999,0.003
27,Connecticut,0.5589999999999999,0.142,0.065,0.025,0.008,0.004
28,Colorado,0.5479999999999999,0.218,0.057,0.022000000000000002,0.006,0.003
29,Florida,0.5429999999999999,0.099,0.040999999999999995,0.013000000000000001,0.005,0.002
30,North Carolina,0.539,0.095,0.055,0.027999999999999997,0.013999999999999999,0.008
31,Loyola (IL),0.519,0.068,0.034,0.013999999999999999,0.006,0.003
32,Georgia Tech,0.48100000000000004,0.055,0.024,0.011000000000000001,0.004,0.002
33,Wisconsin,0.461,0.068,0.032,0.013000000000000001,0.005,0.003
34,Virginia Tech,0.457,0.07400000000000001,0.027999999999999997,0.008,0.003,0.001
35,Georgetown,0.452,0.151,0.033,0.013000000000000001,0.005,0.003
36,Maryland,0.441,0.086,0.028999999999999998,0.008,0.003,0.001
37,Syracuse,0.408,0.124,0.042,0.012,0.005,0.003
38,Rutgers,0.408,0.075,0.022000000000000002,0.005,0.002,0.001
39,Missouri,0.4,0.03,0.013999999999999999,0.006,0.003,0.001
41,Virginia Commonwealth,0.342,0.05,0.016,0.004,0.002,0.001
42,St. Bonaventure,0.33399999999999996,0.044000000000000004,0.018000000000000002,0.006999999999999999,0.002,0.001
43,UC-Santa Barbara,0.264,0.069,0.008,0.003,0.001,0.001
44,Winthrop,0.263,0.078,0.011000000000000001,0.005,0.002,0.001
45,Utah State,0.22699999999999998,0.062,0.015,0.004,0.002,0.001
46,Oregon State,0.217,0.046,0.01,0.004,0.002,0.001
47,Ohio,0.213,0.09,0.01,0.004,0.002,0.001
49,Liberty,0.146,0.054000000000000006,0.011000000000000001,0.004,0.002,0.001
50,Colgate,0.14400000000000002,0.049,0.015,0.004,0.002,0.001
51,North Texas,0.114,0.033,0.006999999999999999,0.003,0.001,0.001
52,North Carolina-Greensboro,0.1,0.031,0.008,0.003,0.001,0.001
53,Morehead State,0.077,0.024,0.006999999999999999,0.003,0.001,0.001
54,Abilene Christian,0.077,0.027999999999999997,0.008,0.003,0.001,0.001
55,Eastern Washington,0.07400000000000001,0.024,0.006999999999999999,0.002,0.001,0.0
56,Iona,0.06,0.023,0.01,0.003,0.002,0.001
57,Grand Canyon,0.054000000000000006,0.022000000000000002,0.011000000000000001,0.003,0.002,0.001
58,Cleveland State,0.05,0.02,0.01,0.003,0.002,0.001
59,Oral Roberts,0.044000000000000004,0.018000000000000002,0.009000000000000001,0.003,0.001,0.001
60,Drexel,0.035,0.016,0.009000000000000001,0.006,0.003,0.002
61,Hartford,0.032,0.013999999999999999,0.008,0.005,0.002,0.001
40,Michigan State,0.34600000000000003,0.085,0.027000000000000003,0.01,0.004,0.003
48,Wichita State,0.21,0.044000000000000004,0.01,0.003,0.001,0.001
62,Mount St. Mary's,0.027000000000000003,0.013000000000000001,0.006999999999999999,0.004,0.002,0.001
63,Norfolk State,0.024,0.011000000000000001,0.006999999999999999,0.004,0.002,0.001
40,UCLA,0.34600000000000003,0.085,0.027000000000000003,0.01,0.004,0.003
48,Drake,0.21,0.044000000000000004,0.01,0.003,0.001,0.001
62,Texas Southern,0.027000000000000003,0.013000000000000001,0.006999999999999999,0.004,0.002,0.001
63,Appalachian State,0.024,0.011000000000000001,0.006999999999999999,0.004,0.002,0.001
