Team,Season,ORAPM,DRAPM,RAPM,Rk,School,Conf,ORtg,DRtg,NRtg,NCAA_Name,zORAPM,zDRAPM,scaledORAPM,scaledDRAPM
Abilene Christian,2020-21,5.992046944,8.053952597,14.04599954,89,Abilene Christian,Southland,0.461947674,-8.903575581,9.03,Abilene Christian,0.426630649,1.420939682,3.678247384,10.75332595
Alabama,2020-21,12.20585214,12.34590183,24.55175398,7,Alabama,SEC,11.13194767,-17.29357558,28.1,Alabama,1.340208061,2.232479218,11.55476478,16.89485981
Appalachian St.,2020-21,1.342533175,0.924122973,2.266656148,217,Appalachian State,Sun Belt,-3.698052326,3.836424419,-7.87,Appalachian St.,-0.256958653,0.072801969,-2.215399894,0.550947594
Arkansas,2020-21,12.33784146,10.0837504,22.42159186,11,Arkansas,SEC,11.85194767,-13.42357558,24.94,Arkansas,1.359613635,1.804742256,11.72207228,13.6578505
Baylor,2020-21,21.58723561,11.13613772,32.72337333,4,Baylor,Big 12,22.38194767,-10.87357558,32.92,Baylor,2.719494947,2.003732009,23.44645236,15.16375656
BYU,2020-21,11.57474702,7.544728496,19.11947551,34,Brigham Young,WCC,11.38194767,-10.43357558,21.48,Brigham Young,1.24742057,1.32465348,10.75478629,10.02465539
Clemson,2020-21,6.252994616,11.33479914,17.58779376,43,Clemson,ACC,6.981947674,-13.49357558,20.15,Clemson,0.464996174,2.041295734,4.009020367,15.4480297
Cleveland St.,2020-21,1.031528765,2.692489654,3.724018419,201,Cleveland State,Horizon,-4.058052326,-0.233575581,-4.16,Cleveland St.,-0.302683711,0.407172064,-2.609623975,3.081379162
Colgate,2020-21,14.47270502,3.711411282,18.18411631,9,Colgate,Patriot,17.54194767,-8.213575581,25.42,Colgate,1.673489443,0.599833986,14.42819026,4.539397729
Colorado,2020-21,15.008302,7.8380887,22.8463907,19,Colorado,Pac-12,14.02194767,-11.15357558,24.84,Colorado,1.75223496,1.380123242,15.10710419,10.44443707
Creighton,2020-21,14.58314803,6.820478913,21.40362695,15,Creighton,Big East,14.62194767,-10.67357558,24.96,Creighton,1.689727197,1.187709369,14.568186,8.988295668
Drake,2020-21,12.93108803,3.104686436,16.03577447,67,Drake,MVC,12.35194767,-2.853575581,14.87,Drake,1.446835015,0.485111939,12.47406188,3.671209179
Drexel,2020-21,8.441503814,-0.944976275,7.496527539,149,Drexel,CAA,4.961947674,3.176424419,1.44,Drexel,0.786759168,-0.280615058,6.783138676,-2.123626516
